gpt label,falcon label,llama label,mpt label,codellama label,Starcoder label,WizardCoder label,Mistral label,Sum,Unnamed: 9,Unnamed: 10,no code,not executed,all test failed,few test passed,all test passed,Unnamed: 16,Unnamed: 17,Unnamed: 18,no code.1,not executed.1,all test failed.1,few test passed.1,all test passed.1,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
4.0,3,4,1,2,4,4,4,26,,,0.0,1.0,1.0,1.0,5.0,,,,,,,,,,,,,,,
4.0,1,1,1,4,4,4,4,23,,,0.0,3.0,0.0,0.0,5.0,,,,,,,,,,,,,,,
4.0,3,4,1,2,4,3,4,25,,,0.0,1.0,1.0,2.0,4.0,,,,,,,,,,,,,,,
4.0,2,4,1,3,4,4,4,26,,,0.0,1.0,1.0,1.0,5.0,,,,,,,,,,,,,,,
4.0,4,4,1,2,4,2,4,25,,,0.0,1.0,2.0,0.0,5.0,,,,,,,,,,,,,,,
4.0,2,4,1,4,4,4,4,27,,,0.0,1.0,1.0,0.0,6.0,,,,,,,,,,,,,,,
4.0,4,4,4,4,4,4,4,32,,,0.0,0.0,0.0,0.0,8.0,,,,,,,,,,,,,,,
4.0,1,4,1,1,4,4,1,20,,,0.0,4.0,0.0,0.0,4.0,,,,,,,,,,,,,,,
4.0,1,1,2,0,0,0,0,8,,,4.0,2.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
4.0,1,3,3,4,4,4,4,27,,,0.0,1.0,0.0,2.0,5.0,,,,,,,,,,,,,,,
1.0,1,1,1,2,2,0,2,10,,,1.0,4.0,3.0,0.0,0.0,,,,,,,,,,,,,,,
1.0,2,3,1,0,0,0,3,10,,,3.0,2.0,1.0,2.0,0.0,,,,,,,,,,,,,,,
1.0,1,1,0,0,0,0,0,3,,,5.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
4.0,1,4,4,0,0,2,0,15,,,3.0,1.0,1.0,0.0,3.0,,,,,,,,,,,,,,,
4.0,1,1,4,0,0,2,4,16,,,2.0,2.0,1.0,0.0,3.0,,,,,,,,,,,,,,,
4.0,0,1,1,0,4,0,2,12,,,3.0,2.0,1.0,0.0,2.0,,,,,,,,,,,,,,,
4.0,2,1,1,2,4,4,4,22,,,0.0,2.0,2.0,0.0,4.0,,,,,,,,,,,,,,,
1.0,2,2,1,2,0,0,0,8,,,3.0,2.0,3.0,0.0,0.0,,,,,,,,,,,,,,,
4.0,2,2,1,4,4,2,4,23,,,0.0,1.0,3.0,0.0,4.0,,,,,,,,,,,,,,,
4.0,3,1,2,3,3,2,4,22,,,0.0,1.0,2.0,3.0,2.0,,,,,,,,,,,,,,,
4.0,2,2,1,2,2,4,4,21,,,0.0,1.0,4.0,0.0,3.0,,,,,,,,,,,,,,,
4.0,1,4,4,4,4,4,4,29,,,0.0,1.0,0.0,0.0,7.0,,,,,,,,,,,,,,,
4.0,4,3,1,4,4,4,4,28,,,0.0,1.0,0.0,1.0,6.0,,,,,,,,,,,,,,,
4.0,2,4,1,3,4,4,4,26,,,0.0,1.0,1.0,1.0,5.0,,,,,,,,,,,,,,,
4.0,2,2,2,1,0,0,4,15,,,2.0,1.0,3.0,0.0,2.0,,,,,,,,,,,,,,,
4.0,4,2,2,2,2,4,4,24,,,0.0,0.0,4.0,0.0,4.0,,,,,,,,,,,,,,,
4.0,1,4,4,4,2,4,4,27,,,0.0,1.0,1.0,0.0,6.0,,,,,,,,,,,,,,,
4.0,2,2,2,2,2,4,4,22,,,0.0,0.0,5.0,0.0,3.0,,,,,,,,,,,,,,,
4.0,2,2,0,2,2,2,2,16,,,1.0,0.0,6.0,0.0,1.0,,,,,,,,,,,,,,,
4.0,1,2,0,2,4,2,2,17,,,1.0,1.0,4.0,0.0,2.0,,,,,,,,,,,,,,,
4.0,2,1,0,0,0,0,2,9,,,4.0,1.0,2.0,0.0,1.0,,,,,,,,,,,,,,,
2.0,1,1,1,2,0,2,2,11,,,1.0,3.0,4.0,0.0,0.0,,,,,,,,,,,,,,,
1.0,3,1,1,2,0,2,0,10,,,2.0,3.0,2.0,1.0,0.0,,,,,,,,,,,,,,,
4.0,2,1,1,0,0,3,1,12,,,2.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
4.0,2,2,4,0,0,2,2,16,,,2.0,0.0,4.0,0.0,2.0,,,,,,,,,,,,,,,
1.0,1,2,0,0,0,0,1,5,,,4.0,3.0,1.0,0.0,0.0,,,,,,,,,,,,,,,
1.0,2,3,0,1,0,0,2,9,,,3.0,2.0,2.0,1.0,0.0,,,,,,,,,,,,,,,
4.0,2,1,1,2,4,4,3,21,,,0.0,2.0,2.0,1.0,3.0,,,,,,,,,,,,,,,
4.0,1,1,1,1,2,2,4,16,,,0.0,4.0,2.0,0.0,2.0,,,,,,,,,,,,,,,
4.0,2,2,1,1,4,2,3,19,,,0.0,2.0,3.0,1.0,2.0,,,,,,,,,,,,,,,
3.0,4,1,1,1,4,3,3,20,,,0.0,3.0,0.0,3.0,2.0,,,,,,,,,,,,,,,
4.0,3,4,2,2,4,4,4,27,,,0.0,0.0,2.0,1.0,5.0,,,,,,,,,,,,,,,
4.0,3,3,1,0,4,4,4,23,,,1.0,1.0,0.0,2.0,4.0,,,,,,,,,,,,,,,
2.0,2,1,2,4,2,2,4,19,,,0.0,1.0,5.0,0.0,2.0,,,,,,,,,,,,,,,
4.0,4,4,1,4,4,4,4,29,,,0.0,1.0,0.0,0.0,7.0,,,,,,,,,,,,,,,
4.0,1,4,2,2,4,4,4,25,,,0.0,1.0,2.0,0.0,5.0,,,,,,,,,,,,,,,
4.0,4,4,2,4,4,4,4,30,,,0.0,0.0,1.0,0.0,7.0,,,,,,,,,,,,,,,
4.0,1,4,1,2,4,4,4,24,,,0.0,2.0,1.0,0.0,5.0,,,,,,,,,,,,,,,
4.0,1,4,1,2,4,2,4,22,,,0.0,2.0,2.0,0.0,4.0,,,,,,,,,,,,,,,
2.0,1,2,2,4,1,2,4,18,,,0.0,2.0,4.0,0.0,2.0,,,,,,,,,,,,,,,
4.0,4,3,1,4,4,4,4,28,,,0.0,1.0,0.0,1.0,6.0,,,,,,,,,,,,,,,
4.0,3,1,1,0,4,0,4,17,,,2.0,2.0,0.0,1.0,3.0,,,,,,,,,,,,,,,
1.0,1,1,1,2,3,0,3,12,,,1.0,4.0,1.0,2.0,0.0,,,,,,,,,,,,,,,
3.0,2,1,1,2,2,0,2,13,,,1.0,2.0,4.0,1.0,0.0,,,,,,,,,,,,,,,
1.0,1,1,1,0,4,0,2,10,,,2.0,4.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
2.0,1,1,1,4,0,2,4,15,,,1.0,3.0,2.0,0.0,2.0,,,,,,,,,,,,,,,
4.0,1,4,1,4,4,4,4,26,,,0.0,2.0,0.0,0.0,6.0,,,,,,,,,,,,,,,
4.0,1,2,1,2,3,4,4,21,,,0.0,2.0,2.0,1.0,3.0,,,,,,,,,,,,,,,
4.0,3,3,1,0,4,4,4,23,,,1.0,1.0,0.0,2.0,4.0,,,,,,,,,,,,,,,
4.0,2,1,1,3,4,2,4,21,,,0.0,2.0,2.0,1.0,3.0,,,,,,,,,,,,,,,
4.0,3,4,3,4,4,2,4,28,,,0.0,0.0,1.0,2.0,5.0,,,,,,,,,,,,,,,
4.0,4,4,3,2,4,2,4,27,,,0.0,0.0,2.0,1.0,5.0,,,,,,,,,,,,,,,
2.0,2,2,1,4,4,4,4,23,,,0.0,1.0,3.0,0.0,4.0,,,,,,,,,,,,,,,
4.0,4,4,1,2,2,4,4,25,,,0.0,1.0,2.0,0.0,5.0,,,,,,,,,,,,,,,
4.0,2,2,1,4,4,4,4,25,,,0.0,1.0,2.0,0.0,5.0,,,,,,,,,,,,,,,
4.0,2,4,2,4,4,4,4,28,,,0.0,0.0,2.0,0.0,6.0,,,,,,,,,,,,,,,
4.0,1,3,1,2,4,2,4,21,,,0.0,2.0,2.0,1.0,3.0,,,,,,,,,,,,,,,
4.0,4,4,4,2,4,4,4,30,,,0.0,0.0,1.0,0.0,7.0,,,,,,,,,,,,,,,
4.0,1,4,4,2,4,4,4,27,,,0.0,1.0,1.0,0.0,6.0,,,,,,,,,,,,,,,
4.0,2,4,1,1,4,1,4,21,,,0.0,3.0,1.0,0.0,4.0,,,,,,,,,,,,,,,
4.0,1,1,1,2,2,2,4,17,,,0.0,3.0,3.0,0.0,2.0,,,,,,,,,,,,,,,
4.0,3,2,1,2,3,2,4,21,,,0.0,1.0,3.0,2.0,2.0,,,,,,,,,,,,,,,
4.0,1,4,1,1,4,2,4,21,,,0.0,3.0,1.0,0.0,4.0,,,,,,,,,,,,,,,
4.0,4,4,4,4,4,4,4,32,,,0.0,0.0,0.0,0.0,8.0,,,,,,,,,,,,,,,
4.0,4,4,4,2,4,4,4,30,,,0.0,0.0,1.0,0.0,7.0,,,,,,,,,,,,,,,
4.0,4,4,2,1,4,2,4,25,,,0.0,1.0,2.0,0.0,5.0,,,,,,,,,,,,,,,
4.0,2,2,1,2,4,2,4,21,,,0.0,1.0,4.0,0.0,3.0,,,,,,,,,,,,,,,
4.0,4,4,3,1,3,4,4,27,,,0.0,1.0,0.0,2.0,5.0,,,,,,,,,,,,,,,
4.0,1,3,2,4,4,4,4,26,,,0.0,1.0,1.0,1.0,5.0,,,,,,,,,,,,,,,
4.0,3,2,2,2,4,4,4,25,,,0.0,0.0,3.0,1.0,4.0,,,,,,,,,,,,,,,
4.0,1,3,2,2,4,2,4,22,,,0.0,1.0,3.0,1.0,3.0,,,,,,,,,,,,,,,
4.0,4,2,4,4,4,4,4,30,,,0.0,0.0,1.0,0.0,7.0,,,,,,,,,,,,,,,
4.0,2,4,1,4,4,4,4,27,,,0.0,1.0,1.0,0.0,6.0,,,,,,,,,,,,,,,
4.0,1,4,1,4,4,0,4,22,,,1.0,2.0,0.0,0.0,5.0,,,,,,,,,,,,,,,
1.0,1,4,1,0,1,2,2,12,,,1.0,4.0,2.0,0.0,1.0,,,,,,,,,,,,,,,
4.0,1,1,1,0,3,2,4,16,,,1.0,3.0,1.0,1.0,2.0,,,,,,,,,,,,,,,
4.0,4,1,2,4,4,2,4,25,,,0.0,1.0,2.0,0.0,5.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CodingSites,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,gpt3.5-turbo,falcon-7b,llama2-7b,mpt-7b,codellama,Starcoder,Wizardcoder,Mistral,,,,,,,,,,,,,,,,,,,,,,
0.0,0,1,0,6,18,17,16,5,,,,,,,,,,,,,,,,,,,,,,
1.0,11,38,30,74,17,2,6,4,,,,,,,,,,,,,,,,,,,,,,
2.0,6,34,24,20,42,12,35,15,,,,,,,,,,,,,,,,,,,,,,
3.0,3,17,11,4,5,9,4,6,,,,,,,,,,,,,,,,,,,,,,
4.0,98,28,53,14,36,78,57,88,,,,,,,,,,,,,,,,,,,,,,
